2210,90,1.884
2210,90,1.945
2211,90,1.928
2211,90,1.958
2211,90,1.945
2211,90,1.923
2212,90,1.296
2212,90,1.078
2212,90,1.109
2212,90,1.196
2212,90,1.178
2223,90,1.967
2223,90,2.002
2223,90,2.010
2223,90,1.928
2224,90,1.993
2224,90,1.897
2224,90,1.901
2224,90,1.958
2224,90,1.997
2235,90,1.941
2235,90,1.945
2235,90,1.980
2235,90,1.984
2235,90,1.941
2236,90,1.971
2236,90,1.962
2236,90,1.932
2236,90,1.954
2246,90,2.006
2247,90,1.906
2247,90,1.980
2247,90,1.993
2247,90,1.906
2247,90,1.919
2247,90,1.989
2248,90,1.928
2248,90,1.962
2258,90,1.923
2258,90,1.984
2258,90,1.949
2259,90,1.975
2259,90,1.971
2259,90,1.910
2259,90,2.006
2259,90,1.884
2259,90,1.897
2270,90,1.893
2270,90,1.919
2270,90,1.893
2270,90,1.975
2271,90,1.962
2271,90,1.914
2271,90,2.002
2271,90,2.019
2271,90,1.975
2282,90,1.962
2282,90,1.962
2282,90,1.928
2282,90,1.932
2282,90,1.858
2282,90,1.923
2283,90,1.993
2283,90,1.910
2283,90,1.958
2293,90,1.962
2293,90,1.932
2294,90,1.928
2294,90,1.971
2294,90,1.971
2294,90,1.971
2294,90,1.967
2294,90,1.862
2295,90,1.962
2305,90,1.888
2305,90,2.002
2305,90,1.958
2305,90,1.971
2306,90,1.997
2306,90,2.023
2306,90,1.984
2306,90,1.971
2306,90,1.897
2317,90,1.962
2317,90,1.867
2317,90,1.928
2317,90,1.989
2317,90,2.002
2318,90,1.949
2318,90,2.054
2318,90,1.945
2318,90,1.932
2328,90,1.980
2329,90,1.945
2329,90,1.914
2329,90,1.936
2329,90,1.928
2329,90,1.906
2329,90,1.897
2330,90,1.884
2330,90,1.980
2340,90,1.919
2340,90,1.867
2340,90,1.871
2341,90,2.002
2341,90,1.997
2341,90,1.997
2341,90,1.993
2341,90,1.840
2341,90,1.975
2352,90,1.941
2352,90,1.928
2352,90,2.010
2352,90,1.980
2353,90,1.984
2353,90,1.893
2353,90,1.971
2353,90,1.919
2353,90,1.949
2364,90,1.880
2364,90,2.041
2364,90,1.997
2364,90,1.928
2364,90,1.871
2364,90,1.910
2365,90,1.980
2365,90,1.910
2365,90,2.006
2375,90,1.932
2375,90,1.936
2376,90,1.923
2376,90,1.936
2376,90,1.888
2376,90,1.875
2376,90,1.984
2376,90,1.971
2377,90,1.928
2387,90,1.975
2387,90,2.080
2387,90,1.910
2388,90,1.906
2388,90,1.910
2388,90,1.958
2388,90,1.875
2388,90,1.993
2388,90,2.032
2399,90,1.906
2399,90,2.049
2399,90,1.975
2399,90,1.967
2399,90,1.914
2400,90,2.071
2400,90,1.993
2400,90,1.980
2400,90,1.928
2410,90,1.954
2411,90,1.997
2411,90,1.945
2411,90,1.945
2411,90,1.897
2411,90,1.967
2411,90,1.919
2412,90,1.989
2412,90,1.875
2422,90,1.936
2422,90,1.975
2422,90,1.949
2423,90,1.962
2423,90,1.888
2423,90,1.928
2423,90,2.023
2423,90,1.858
2424,90,2.015
2434,90,1.975
2434,90,1.875
2434,90,1.936
2434,90,1.901
2435,90,1.936
2435,90,1.901
2435,90,1.888
2435,90,1.941
2435,90,1.871
2446,90,1.962
2446,90,2.045
2446,90,1.901
2446,90,1.941
2446,90,1.989
2446,90,1.906
2447,90,1.888
2447,90,1.962
2447,90,2.041
2457,90,1.936
2457,90,1.914
2458,90,1.910
2458,90,1.989
2458,90,1.862
2458,90,1.962
2458,90,1.962
2458,90,2.002
2459,90,1.962
2469,90,1.980
2469,90,1.949
2469,90,1.962
2470,90,1.941
2470,90,1.980
2470,90,1.884
2470,90,1.941
2470,90,2.006
2470,90,1.975
2481,90,1.910
2481,90,1.897
2481,90,1.941
2481,90,1.967
2481,90,1.914
2482,90,1.928
2482,90,1.923
2482,90,1.958
2482,90,1.989
2492,90,1.997
2493,90,1.980
2493,90,1.936
2493,90,1.867
2493,90,1.888
2493,90,1.897
2493,90,1.949
2494,90,2.015
2494,90,1.906
2504,90,1.993
2504,90,1.936
2505,90,1.949
2505,90,1.923
2505,90,1.945
2505,90,2.036
2505,90,1.971
2505,90,1.945
2506,90,1.910
2516,90,1.910
2516,90,1.897
2516,90,1.906
2516,90,1.932
2517,90,1.932
2517,90,1.901
2517,90,1.971
2517,90,1.914
2517,90,1.936
2528,90,1.949
2528,90,1.962
2528,90,2.063
2528,90,1.928
2528,90,2.015
2529,90,1.954
2529,90,1.989
2529,90,1.893
2529,90,1.906
2539,90,1.962
2540,90,1.962
2540,90,1.928
2540,90,1.989
2540,90,1.941
2540,90,2.028
2540,90,1.962
2541,90,1.945
2541,90,1.949
2551,90,1.884
2551,90,1.949
2551,90,1.897
2552,90,1.980
2552,90,1.936
2552,90,2.045
2552,90,1.945
2552,90,1.958
2552,90,1.989
2563,90,1.975
2563,90,1.945
2563,90,1.936
2563,90,1.993
2564,90,1.941
2564,90,1.875
2564,90,2.023
2564,90,1.932
2564,90,1.954
2575,90,2.010
2575,90,1.989
2575,90,2.041
2575,90,1.980
2575,90,1.914
2575,90,1.914
2576,90,1.932
2576,90,1.880
2576,90,1.954
2586,90,1.954
2586,90,1.932
2587,90,2.049
2587,90,1.984
2587,90,1.971
2587,90,1.897
2587,90,1.958
2587,90,1.949
2588,90,2.015
2598,90,2.023
2598,90,1.967
2598,90,1.997
2598,90,1.989
2599,90,1.901
2599,90,2.019
2599,90,2.023
2599,90,1.962
2599,90,1.923
2610,90,1.862
2610,90,2.010
2610,90,1.958
2610,90,1.962
2610,90,1.967
2611,90,1.980
2611,90,2.028
2611,90,1.932
2611,90,2.023
2621,90,1.183
2622,90,1.078
2622,90,1.074
2622,90,1.174
2622,90,1.126
2622,90,1.096
2622,90,1.187
2623,90,1.165
2623,90,1.157
2633,90,1.945
2633,90,2.023
2633,90,1.914
2634,90,1.914
2634,90,1.941
2634,90,1.997
2634,90,1.810
2634,90,1.936
2635,90,2.010
2645,90,1.971
2645,90,1.928
2645,90,1.941
2645,90,2.002
2646,90,2.015
2646,90,1.962
2646,90,1.941
2646,90,1.923
2646,90,1.880
2657,90,1.910
2657,90,1.941
2657,90,1.975
2657,90,2.023
2657,90,1.928
2657,90,1.901
2658,90,1.945
2658,90,1.958
2658,90,1.923
2668,90,1.949
2668,90,2.015
2669,90,1.997
2669,90,2.002
2669,90,1.871
2669,90,2.015
2669,90,1.958
2669,90,1.910
2670,90,1.962
2680,90,1.962
2680,90,1.949
2680,90,1.949
2681,90,1.936
2681,90,1.984
2681,90,1.884
2681,90,1.941
2681,90,1.967
2681,90,1.845
2692,90,1.923
2692,90,2.010
2692,90,1.945
2692,90,2.002
2692,90,2.015
2693,90,1.932
2693,90,1.901
2693,90,1.975
2693,90,1.941
2703,90,1.958
2704,90,1.989
2704,90,1.932
2704,90,1.932
2704,90,1.962
2704,90,1.954
2704,90,1.880
2705,90,1.949
2705,90,1.967
2715,90,1.884
2715,90,2.002
2715,90,1.914
2716,90,1.888
2716,90,1.984
2716,90,1.888
2716,90,1.932
2716,90,2.049
2717,90,1.962
2727,90,2.032
2727,90,1.945
2727,90,1.958
2727,90,1.967
2728,90,1.853
2728,90,1.928
2728,90,1.962
2728,90,2.036
2728,90,1.980
2739,90,1.945
2739,90,1.945
2739,90,1.910
2739,90,1.941
2739,90,1.975
2739,90,1.897
2740,90,1.989
2740,90,2.002
2740,90,1.932
2750,90,1.962
2750,90,1.997
2751,90,1.928
2751,90,1.910
2751,90,1.975
2751,90,1.928
2751,90,1.962
2752,90,1.875
2752,90,1.997
2762,90,1.980
2762,90,1.967
2762,90,2.015
2763,90,1.949
2763,90,1.941
2763,90,1.936
2763,90,2.019
2763,90,2.010
2763,90,1.967
2774,90,1.928
2774,90,2.041
2774,90,1.975
2774,90,1.932
2774,90,1.958
2775,90,1.893
2775,90,1.858
2775,90,1.884
2775,90,1.958
2785,90,1.923
2786,90,1.997
2786,90,2.028
2786,90,1.975
2786,90,1.910
2786,90,1.962
2786,90,2.028
2787,90,1.962
2787,90,1.923
2797,90,1.980
2797,90,2.036
2798,90,1.923
2798,90,1.893
2798,90,1.906
2798,90,1.967
2798,90,2.006
